ConD,Cook Political Report,Inside Elections,Sabato's Crystal Ball,...5,cook_code,inside_code,crystal_code,avg_ratings_2018,year
OK-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OK-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OK-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OK-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OK-05,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
OR-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
OR-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
OR-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
OR-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
OR-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
PA-01,Toss-up,Toss-up,Lean Republican,NA,0,0,-2,-0.666666667,2018
PA-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
PA-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
PA-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
PA-05,Likely Democratic,Likely Democratic,Safe Democratic,NA,3,3,4,3.333333333,2018
PA-06,Likely Democratic,Likely Democratic,Safe Democratic,NA,3,3,4,3.333333333,2018
PA-07,Lean Democratic,Lean Democratic,Lean Democratic,NA,2,2,2,2,2018
PA-08,Likely Democratic,Lean Democratic,Likely Democratic,NA,3,2,3,2.666666667,2018
PA-09,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
PA-10,Toss-up,Lean Republican,Lean Republican,NA,0,-2,-2,-1.333333333,2018
PA-11,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
PA-12,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
PA-13,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
PA-14,Likely Republican,Likely Republican,Safe Republican,NA,-3,-3,-4,-3.333333333,2018
PA-15,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
PA-16,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
PA-17,Likely Democratic,Lean Democratic,Likely Democratic,NA,3,2,3,2.666666667,2018
PA-18,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
RI-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
RI-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
SC-01,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
SC-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
SC-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
SC-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
SC-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
SC-06,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
SC-07,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
SD-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TN-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TN-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TN-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TN-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TN-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TN-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TN-07,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TN-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TN-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-02,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
TX-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-06,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
TX-07,Toss-up,Tilt Republican,Lean Republican,NA,0,-1,-2,-1,2018
TX-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-10,Likely Republican,Solid Republican,Safe Republican,NA,-3,-4,-4,-3.666666667,2018
TX-11,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-12,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-13,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-14,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-15,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-16,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-17,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-18,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-19,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-20,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-21,Likely Republican,Likely Republican,Likely Republican,NA,-3,-3,-3,-3,2018
TX-22,Lean Republican,Solid Republican,Likely Republican,NA,-2,-4,-3,-3,2018
TX-23,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
TX-24,Likely Republican,Solid Republican,Safe Republican,NA,-3,-4,-4,-3.666666667,2018
TX-25,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-26,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-27,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
TX-28,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-29,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-30,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-31,Likely Republican,Likely Republican,Likely Republican,NA,-3,-3,-3,-3,2018
TX-32,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
TX-33,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-34,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-35,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
TX-36,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
UT-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
UT-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
UT-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
UT-04,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
VA-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
VA-02,Toss-up,Tilt Republican,Lean Democratic,NA,0,-1,2,0.333333333,2018
VA-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
VA-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
VA-05,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
VA-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
VA-07,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
VA-08,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
VA-09,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
VA-10,Lean Democratic,Tilt Democratic,Lean Democratic,NA,2,1,2,1.666666667,2018
VA-11,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
VT-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WA-01,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WA-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WA-03,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
WA-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
WA-05,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
WA-06,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WA-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WA-08,Lean Democratic,Toss-up,Lean Democratic,NA,2,0,2,1.333333333,2018
WA-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WA-10,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WI-01,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
WI-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WI-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WI-04,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
WI-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
WI-06,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
WI-07,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
WI-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
WV-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
WV-02,Likely Republican,Solid Republican,Safe Republican,NA,-3,-4,-4,-3.666666667,2018
WV-03,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
WY-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
