ConD,Cook Political Report,Inside Elections,Sabato's Crystal Ball,cook_code,inside_code,crystal_code,avg_ratings_2020,year
PA-16,Likely Republican,Solid Republican,Safe Republican,-3,-4,-4,-3.666666667,2020
PA-17,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2020
PA-18,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
RI-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
RI-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
SC-01,Lean Democratic,Lean Democratic,Lean Democratic,2,2,2,2,2020
SC-02,Solid Republican,Solid Republican,Likely Republican,-4,-4,-3,-3.666666667,2020
SC-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
SC-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
SC-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
SC-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
SC-07,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
SD-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TN-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TN-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TN-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TN-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TN-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TN-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TN-07,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TN-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TN-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-02,Likely Republican,Solid Republican,Likely Republican,-3,-4,-3,-3.333333333,2020
TX-03,Lean Republican,Lean Republican,Likely Republican,-2,-2,-3,-2.333333333,2020
TX-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-06,Likely Republican,Likely Republican,Likely Republican,-3,-3,-3,-3,2020
TX-07,Likely Democratic,Likely Democratic,Likely Democratic,3,3,3,3,2020
TX-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-10,Toss-up,Lean Republican,Lean Republican,0,-2,-2,-1.333333333,2020
TX-11,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-12,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-13,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-14,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-15,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-16,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-17,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-18,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-19,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-20,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-21,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
TX-22,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
TX-23,Lean Democratic,Tilt Democratic,Lean Democratic,2,1,2,1.666666667,2020
TX-24,Lean Democratic,Tilt Democratic,Lean Democratic,2,1,2,1.666666667,2020
TX-25,Likely Republican,Likely Republican,Likely Republican,-3,-3,-3,-3,2020
TX-26,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-27,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
TX-28,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-29,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-30,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-31,Lean Republican,Solid Republican,Likely Republican,-2,-4,-3,-3,2020
TX-32,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2020
TX-33,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-34,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-35,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
TX-36,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
UT-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
UT-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
UT-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
UT-04,Toss-up,Tilt Democratic,Lean Democratic,0,1,2,1,2020
VA-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
VA-02,Lean Democratic,Likely Democratic,Lean Democratic,2,3,2,2.333333333,2020
VA-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
VA-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
VA-05,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
VA-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
VA-07,Lean Democratic,Tilt Democratic,Lean Democratic,2,1,2,1.666666667,2020
VA-08,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
VA-09,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
VA-10,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
VA-11,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
VT-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WA-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WA-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WA-03,Lean Republican,Lean Republican,Lean Republican,-2,-2,-2,-2,2020
WA-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WA-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WA-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WA-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WA-08,Likely Democratic,Solid Democratic,Lean Democratic,3,4,2,3,2020
WA-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WA-10,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WI-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WI-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WI-03,Lean Democratic,Solid Democratic,Likely Democratic,2,4,3,3,2020
WI-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
WI-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WI-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WI-07,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WI-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WV-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WV-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WV-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
WY-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
