pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election,R_seats,D_seats,Other_seats,winner_party,R_majorvote_pct,D_majorvote_pct,president_party,H_incumbent_party,H_incumbent_party_winner,H_incumbent_party_majorvote_pct,rdi,rdi_change,rdi_change_pct,midterm_year,poll_margin,D_votemargin,poll_vote_diff
NA,1013,NA,46,48,10,7,1994,10,9,31,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-2,-7.180000000000007,-0.4099999999999966
NA,1005,NA,38,37,10,7,1994,10,11,30,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,1,-7.180000000000007,-8.409999999999997
NA,1011,NA,51,45,10,20,1994,10,23,17.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,6,-7.180000000000007,4.590000000000003
NA,1031,NA,44,47,10,5,1994,10,9,32,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-3,-7.180000000000007,-2.4099999999999966
NA,1410,NA,47,42,11,3,1994,11,6,3.5,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,5,-7.180000000000007,0.5900000000000034
NA,2000,NA,43,45,11,3,1994,11,5,4,230,204,1,R,53.59,46.41,D,D,FALSE,46.41,7579.7,192.09999999999945,2.600303210785637,midterm,-2,-7.180000000000007,-3.4099999999999966
NA,1444.310059,NA,52,38,10,10,1996,10,11,25.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,14,0.3199999999999932,1.8400000000000034
NA,752,NA,48,45,11,2,1996,11,4,2,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,3,0.3199999999999932,-2.1599999999999966
NA,1444.310059,NA,53,41,10,11,1996,10,12,24.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,12,0.3199999999999932,2.8400000000000034
NA,1000,NA,42,38,9,25,1996,9,30,38.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,4,0.3199999999999932,-8.159999999999997
NA,1444.310059,NA,48,41,9,25,1996,9,29,39,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,7,0.3199999999999932,-2.1599999999999966
NA,1000,NA,41,39,10,1,1996,10,6,32.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,2,0.3199999999999932,-9.159999999999997
NA,732,NA,50,36,10,17,1996,10,18,18.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,14,0.3199999999999932,-0.1599999999999966
NA,1444.310059,NA,49,43,9,25,1996,9,29,39,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,6,0.3199999999999932,-1.1599999999999966
NA,2421,NA,49,39,10,31,1996,11,2,4,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,10,0.3199999999999932,-1.1599999999999966
NA,1000,NA,41,39,10,14,1996,10,17,20.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,2,0.3199999999999932,-9.159999999999997
NA,1444.310059,NA,50,43,10,25,1996,10,26,10.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,7,0.3199999999999932,-0.1599999999999966
NA,1444.310059,NA,52,40,10,28,1996,10,29,7.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,12,0.3199999999999932,1.8400000000000034
NA,1444.310059,NA,50,41,10,19,1996,10,20,16.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,9,0.3199999999999932,-0.1599999999999966
NA,1444.310059,NA,46,42,10,24,1996,10,27,10.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,4,0.3199999999999932,-4.159999999999997
NA,960,NA,50,40,10,30,1996,11,2,4.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,10,0.3199999999999932,-0.1599999999999966
NA,1000,NA,40,39,9,19,1996,9,24,44.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,1,0.3199999999999932,-10.159999999999997
NA,2370,NA,48,45,11,3,1996,11,4,1.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,3,0.3199999999999932,-2.1599999999999966
NA,1444.310059,NA,49,41,10,23,1996,10,24,12.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,8,0.3199999999999932,-1.1599999999999966
NA,1444.310059,NA,52,40,11,2,1996,11,3,2.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,12,0.3199999999999932,1.8400000000000034
NA,1057,NA,52,42,10,19,1996,10,20,16.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,10,0.3199999999999932,1.8400000000000034
NA,1444.310059,NA,48,43,10,21,1996,10,22,14.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,5,0.3199999999999932,-2.1599999999999966
NA,898,NA,44,41,10,30,1996,10,31,5.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,3,0.3199999999999932,-6.159999999999997
NA,1000,NA,41,38,10,8,1996,10,13,25.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,3,0.3199999999999932,-9.159999999999997
NA,1000,NA,40,39,10,24,1996,10,29,9.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,1,0.3199999999999932,-10.159999999999997
NA,1444.310059,NA,48,43,9,19,1996,9,20,46.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,5,0.3199999999999932,-2.1599999999999966
NA,1444.310059,NA,52,40,10,13,1996,10,13,23,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,12,0.3199999999999932,1.8400000000000034
NA,1000,NA,40,40,10,20,1996,10,23,14.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,0,0.3199999999999932,-10.159999999999997
NA,1444.310059,NA,50,45,10,29,1996,10,30,6.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,5,0.3199999999999932,-0.1599999999999966
NA,1000,NA,45,43,10,3,1996,10,9,30,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,2,0.3199999999999932,-5.159999999999997
NA,1013,NA,47,40,10,23,1996,10,27,11,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,7,0.3199999999999932,-3.1599999999999966
NA,1444.310059,NA,50,42,10,27,1996,10,28,8.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,8,0.3199999999999932,-0.1599999999999966
NA,1214,NA,36,41,9,14,1996,9,20,49,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,-5,0.3199999999999932,-14.159999999999997
NA,1444.310059,NA,53,39,10,26,1996,10,27,9.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,14,0.3199999999999932,2.8400000000000034
NA,1000,NA,43,43,11,2,1996,11,3,2.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,0,0.3199999999999932,-7.159999999999997
NA,1530,NA,50,43,9,28,1996,10,1,36.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,7,0.3199999999999932,-0.1599999999999966
NA,1444.310059,NA,50,42,10,30,1996,10,31,5.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,8,0.3199999999999932,-0.1599999999999966
NA,1444.310059,NA,49,42,10,14,1996,10,20,19,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,7,0.3199999999999932,-1.1599999999999966
NA,1444.310059,NA,51,42,10,22,1996,10,23,13.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,9,0.3199999999999932,0.8400000000000034
NA,1006,NA,46,34,10,18,1996,10,22,16,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,12,0.3199999999999932,-4.159999999999997
NA,1444.310059,NA,50,44,10,16,1996,10,18,19,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,6,0.3199999999999932,-0.1599999999999966
NA,1374,NA,51,43,10,1,1996,10,2,34.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,8,0.3199999999999932,0.8400000000000034
NA,1444.310059,NA,48,45,9,20,1996,9,22,45,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,3,0.3199999999999932,-2.1599999999999966
NA,1444.310059,NA,53,40,10,14,1996,10,15,21.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,13,0.3199999999999932,2.8400000000000034
NA,1444.310059,NA,51,41,10,7,1996,10,8,28.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,10,0.3199999999999932,0.8400000000000034
NA,1444.310059,NA,50,43,9,18,1996,9,22,46,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,7,0.3199999999999932,-0.1599999999999966
NA,1861,NA,50,42,10,3,1996,10,6,31.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,8,0.3199999999999932,-0.1599999999999966
NA,1000,NA,38,42,9,15,1996,9,18,49.5,226,207,2,D,49.84,50.16,D,R,FALSE,49.84,8044.5,187.5,2.3864070255822822,pres,-4,0.3199999999999932,-12.159999999999997
NA,485,NA,47,50,10,26,1998,10,28,7,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-3,-1.2199999999999989,-2.3900000000000006
NA,900,NA,37,45,10,7,1998,10,8,26.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-8,-1.2199999999999989,-12.39
NA,401,NA,48,47,9,14,1998,9,15,49.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,1,-1.2199999999999989,-1.3900000000000006
NA,635.9949341,NA,47,48,9,22,1998,9,23,41.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-1,-1.2199999999999989,-2.3900000000000006
NA,1000,NA,41,38,9,21,1998,9,27,40,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,3,-1.2199999999999989,-8.39
NA,581,NA,49,47,10,22,1998,10,25,10.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,2,-1.2199999999999989,-0.39000000000000057
NA,539,NA,51,45,9,23,1998,9,24,40.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,6,-1.2199999999999989,1.6099999999999994
NA,442,NA,47,47,10,14,1998,10,15,19.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,0,-1.2199999999999989,-2.3900000000000006
NA,822.1783447,NA,49,48,10,31,1998,11,1,2.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,1,-1.2199999999999989,-0.39000000000000057
NA,1019,NA,47,38,9,23,1998,9,24,40.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,9,-1.2199999999999989,-2.3900000000000006
NA,1036,NA,49,37,10,14,1998,10,15,19.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,12,-1.2199999999999989,-0.39000000000000057
NA,1532,NA,44,43,10,14,1998,10,18,18,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,1,-1.2199999999999989,-5.390000000000001
NA,1155.095459,NA,49,46,10,29,1998,11,1,3.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,3,-1.2199999999999989,-0.39000000000000057
NA,743,NA,46,44,10,28,1998,10,31,4.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,2,-1.2199999999999989,-3.3900000000000006
NA,689.9976196,NA,48,43,9,24,1998,9,25,39.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,5,-1.2199999999999989,-1.3900000000000006
NA,416,NA,41,45,10,16,1998,10,21,15.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-4,-1.2199999999999989,-8.39
NA,373,NA,45,49,9,23,1998,9,24,40.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-4,-1.2199999999999989,-4.390000000000001
NA,844,NA,42,43,9,25,1998,9,28,37.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-1,-1.2199999999999989,-7.390000000000001
NA,856,NA,51,40,10,14,1998,10,15,19.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,11,-1.2199999999999989,1.6099999999999994
NA,794,NA,49,41,10,12,1998,10,13,21.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,8,-1.2199999999999989,-0.39000000000000057
NA,753.0986938,NA,44,54,9,22,1998,9,23,41.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-10,-1.2199999999999989,-5.390000000000001
NA,924.9013062,NA,43,48,10,14,1998,10,18,18,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-5,-1.2199999999999989,-6.390000000000001
NA,600,NA,41,38,10,13,1998,10,18,18.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,3,-1.2199999999999989,-8.39
NA,832,NA,42,44,10,2,1998,10,5,30.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-2,-1.2199999999999989,-7.390000000000001
NA,1100,NA,46,42,10,1,1998,10,4,31.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,4,-1.2199999999999989,-3.3900000000000006
NA,1143.180298,NA,49,45,10,8,1998,10,10,25,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,4,-1.2199999999999989,-0.39000000000000057
NA,1105,NA,49,45,10,29,1998,11,1,3.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,4,-1.2199999999999989,-0.39000000000000057
NA,1155.095459,NA,46,48,10,29,1998,11,1,3.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-2,-1.2199999999999989,-3.3900000000000006
NA,1766,NA,50,41,10,29,1998,11,1,3.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,9,-1.2199999999999989,0.6099999999999994
NA,800,NA,42,40,10,9,1998,10,13,23,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,2,-1.2199999999999989,-7.390000000000001
NA,650,NA,45,43,10,8,1998,10,9,25.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,2,-1.2199999999999989,-4.390000000000001
NA,673,NA,38,48,10,28,1998,10,29,5.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-10,-1.2199999999999989,-11.39
NA,756.2497559,NA,39,43,9,21,1998,9,27,40,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-4,-1.2199999999999989,-10.39
NA,852,NA,47,43,9,14,1998,9,15,49.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,4,-1.2199999999999989,-2.3900000000000006
NA,647.0787354,NA,48,46,10,12,1998,10,13,21.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,2,-1.2199999999999989,-1.3900000000000006
NA,251,NA,41,49,10,8,1998,10,9,25.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-8,-1.2199999999999989,-8.39
NA,519,NA,47,49,10,23,1998,10,25,10,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-2,-1.2199999999999989,-2.3900000000000006
NA,842,NA,48,41,9,23,1998,9,24,40.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,7,-1.2199999999999989,-1.3900000000000006
NA,1025,NA,43,40,10,24,1998,10,27,8.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,3,-1.2199999999999989,-6.390000000000001
NA,1000,NA,39,41,10,1,1998,10,4,31.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-2,-1.2199999999999989,-10.39
NA,735,NA,47,44,10,3,1998,10,4,30.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,3,-1.2199999999999989,-2.3900000000000006
NA,715,NA,46,49,9,25,1998,9,28,37.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-3,-1.2199999999999989,-3.3900000000000006
NA,865,NA,47,44,10,23,1998,10,25,10,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,3,-1.2199999999999989,-2.3900000000000006
NA,548,NA,48,47,10,15,1998,10,18,17.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,1,-1.2199999999999989,-1.3900000000000006
NA,683.9838257,NA,38,47,10,7,1998,10,8,26.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,-9,-1.2199999999999989,-11.39
NA,899,NA,50,41,9,23,1998,9,24,40.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,9,-1.2199999999999989,0.6099999999999994
NA,461,NA,47,46,10,9,1998,10,12,23.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,1,-1.2199999999999989,-2.3900000000000006
NA,713.6012573,NA,44,39,10,21,1998,10,25,11,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,5,-1.2199999999999989,-5.390000000000001
NA,834,NA,46,45,10,9,1998,10,12,23.5,223,211,1,R,50.61,49.39,D,D,FALSE,49.39,8872.6,203.8000000000011,2.350959763750482,midterm,1,-1.2199999999999989,-3.3900000000000006
NA,1000,NA,43,40,10,26,2000,10,31,9.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,3,-0.45999999999999375,-6.770000000000003
NA,694,NA,47,45,9,23,2000,9,25,44,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-2.770000000000003
NA,819.4586182,NA,43,37,10,23,2000,10,29,12,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,6,-0.45999999999999375,-6.770000000000003
NA,1000,NA,45,42,11,1,2000,11,2,5.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,3,-0.45999999999999375,-4.770000000000003
NA,1000,NA,40,39,10,2,2000,10,5,34.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,1,-0.45999999999999375,-9.770000000000003
NA,965,NA,44,37,10,29,2000,10,31,8,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,7,-0.45999999999999375,-5.770000000000003
NA,1000,NA,42,42,11,1,2000,11,5,4,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,0,-0.45999999999999375,-7.770000000000003
NA,1000,NA,41,39,10,10,2000,10,15,25.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-8.770000000000003
NA,1000,NA,40,39,10,5,2000,10,10,30.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,1,-0.45999999999999375,-9.770000000000003
NA,1000,NA,44,42,11,5,2000,11,6,1.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-5.770000000000003
NA,1000,NA,39,40,10,3,2000,10,8,32.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-1,-0.45999999999999375,-10.770000000000003
NA,1000,NA,39,39,9,28,2000,10,3,37.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,0,-0.45999999999999375,-10.770000000000003
NA,1000,NA,43,40,10,15,2000,10,18,21.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,3,-0.45999999999999375,-6.770000000000003
NA,1000,NA,41,42,10,30,2000,11,2,6.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-1,-0.45999999999999375,-8.770000000000003
NA,1158,NA,40,39,11,1,2000,11,4,4.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,1,-0.45999999999999375,-9.770000000000003
NA,1000,NA,43,39,10,11,2000,10,16,24.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,4,-0.45999999999999375,-6.770000000000003
NA,1016,NA,49,44,10,30,2000,10,31,7.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,5,-0.45999999999999375,-0.7700000000000031
NA,1000,NA,48,43,9,27,2000,9,30,39.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,5,-0.45999999999999375,-1.7700000000000031
NA,1000,NA,39,42,10,31,2000,11,2,6,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-3,-0.45999999999999375,-10.770000000000003
NA,706,NA,45,50,10,16,2000,10,18,21,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-5,-0.45999999999999375,-4.770000000000003
NA,1000,NA,39,38,10,1,2000,10,4,35.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,1,-0.45999999999999375,-10.770000000000003
NA,1000,NA,41,39,10,8,2000,10,11,28.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-8.770000000000003
NA,1000,NA,39,39,9,25,2000,9,28,41.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,0,-0.45999999999999375,-10.770000000000003
NA,1009,NA,47,43,10,4,2000,10,8,32,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,4,-0.45999999999999375,-2.770000000000003
NA,999,NA,39,36,10,6,2000,10,9,30.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,3,-0.45999999999999375,-10.770000000000003
NA,1829,NA,48,42,11,2,2000,11,5,3.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,6,-0.45999999999999375,-1.7700000000000031
NA,1000,NA,37,38,9,17,2000,9,20,49.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-1,-0.45999999999999375,-12.770000000000003
NA,1273,NA,41,38,11,2,2000,11,5,3.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,3,-0.45999999999999375,-8.770000000000003
NA,756,NA,47,46,10,13,2000,10,15,24,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,1,-0.45999999999999375,-2.770000000000003
NA,1000,NA,40,38,9,24,2000,9,27,42.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-9.770000000000003
NA,1000,NA,43,39,10,12,2000,10,17,23.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,4,-0.45999999999999375,-6.770000000000003
NA,603,NA,42,48,10,12,2000,10,13,25.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,-6,-0.45999999999999375,-7.770000000000003
NA,803,NA,46,44,10,12,2000,10,13,25.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-3.770000000000003
NA,1000,NA,39,37,9,26,2000,10,1,39.5,221,212,2,R,50.23,49.77,R,R,TRUE,50.23,9579,169.29999999999927,1.7992072010797333,pres,2,-0.45999999999999375,-10.770000000000003
